-18,19-29,30-39,40+
middelbaar,twintiger,dertiger,veertiger
lyceum,twenty-something,thirty-something,fourty-something
leerling,student,thirty,gepensioneerd
,studente,30something,retired
,fok de blok,30-something,gepens.
,20something,,kleinkidneren
,20-something,,grandchildren
,,,petits-enfants
,,,40something
,,,40-something
,,,50something
,,,50-something
,,,60something
,,,60-something
,,,grandfather
,,, opa
,,,grandmother
,,, oma
,,,pensioen
,,,nonno
,,,emeritus
,,,grootvader
,,,grootmoeder
