Region,Gender,Age,Census,Twitter,ln(Census),ln(Twitter),gender_M,gender_F,age_18,age_19-29,age_30-39,age_40,country,age,gender
ANT,M,0-19,213135,414,"12,26968105","6,025865974",1,0,1,0,0,0,BE,age_0017,gender_M
ANT,M,20-29,113591,3387,"11,64035956","8,127699853",1,0,0,1,0,0,BE,age_1829,gender_M
ANT,M,30-39,122336,1195,"11,71452664","7,085901464",1,0,0,0,1,0,BE,age_3039,gender_M
ANT,M,40+,478711,2539,"13,07885235","7,839525582",1,0,0,0,0,1,BE,age_4049,gender_M
ANT,M,Tot,927773,7535,"13,74054237","8,927314111",1,0,0,0,0,0,BE,,
ANT,F,0-19,203043,278,"12,22117306","5,627621114",0,1,1,0,0,0,BE,age_0017,gender_F
ANT,F,20-29,111832,3661,"11,62475302","8,205491613",0,1,0,1,0,0,BE,age_1829,gender_F
ANT,F,30-39,122291,383,"11,71415873","5,948034989",0,1,0,0,1,0,BE,age_3039,gender_F
ANT,F,40+,504791,684,"13,13189976","6,527957918",0,1,0,0,0,1,BE,age_4049,gender_F
ANT,F,Tot,941957,5006,"13,7557149","8,518392472",0,1,0,0,0,0,BE,,
ANT,Tot,,1869730,12541,"14,44130459","9,436758556",0,0,0,0,0,0,BE,,
WVL,M,0-19,122688,17,"11,71739983","2,833213344",1,0,1,0,0,0,BE,age_0017,gender_M
WVL,M,20-29,70024,418,"11,15659332","6,035481433",1,0,0,1,0,0,BE,age_1829,gender_M
WVL,M,30-39,71393,227,"11,1759551","5,424950017",1,0,0,0,1,0,BE,age_3039,gender_M
WVL,M,40+,331254,453,"12,71064073","6,115892125",1,0,0,0,0,1,BE,age_4049,gender_M
WVL,M,Tot,595359,1115,"13,29691986","7,016609684",1,0,0,0,0,0,BE,,
WVL,F,0-19,116726,25,"11,66758459","3,218875825",0,1,1,0,0,0,BE,age_0017,gender_F
WVL,F,20-29,66344,398,"11,10260861","5,986452005",0,1,0,1,0,0,BE,age_1829,gender_F
WVL,F,30-39,68239,37,"11,13077153","3,610917913",0,1,0,0,1,0,BE,age_3039,gender_F
WVL,F,40+,354277,86,"12,77783437","4,454347296",0,1,0,0,0,1,BE,age_4049,gender_F
WVL,F,Tot,605586,546,"13,31395186","6,302618976",0,1,0,0,0,0,BE,,
WVL,Tot,,1200945,1661,"13,9986193","7,41517511",0,0,0,0,0,0,BE,,
OVL,M,0-19,167770,26,"12,03034927","3,258096538",1,0,1,0,0,0,BE,age_0017,gender_M
OVL,M,20-29,92891,350,"11,43918204","5,857933154",1,0,0,1,0,0,BE,age_1829,gender_M
OVL,M,30-39,98195,209,"11,49471058","5,342334252",1,0,0,0,1,0,BE,age_3039,gender_M
OVL,M,40+,394643,440,"12,88573684","6,086774727",1,0,0,0,0,1,BE,age_4049,gender_M
OVL,M,Tot,753499,1025,"13,53248297","6,932447892",1,0,0,0,0,0,BE,,
OVL,F,0-19,160263,19,"11,98457149","2,944438979",0,1,1,0,0,0,BE,age_0017,gender_F
OVL,F,20-29,91522,304,"11,42433466","5,717027701",0,1,0,1,0,0,BE,age_1829,gender_F
OVL,F,30-39,97876,70,"11,49145665","4,248495242",0,1,0,0,1,0,BE,age_3039,gender_F
OVL,F,40+,422095,111,"12,95298569","4,709530201",0,1,0,0,0,1,BE,age_4049,gender_F
OVL,F,Tot,771756,504,"13,55642372","6,222576268",0,1,0,0,0,0,BE,,
OVL,Tot,,1525255,1529,"14,23767217","7,332369206",0,0,0,0,0,0,BE,,
VB,M,0-19,134162,13,"11,8068033","2,564949357",1,0,1,0,0,0,BE,age_0017,gender_M
VB,M,20-29,68884,193,"11,14017921","5,262690189",1,0,0,1,0,0,BE,age_1829,gender_M
VB,M,30-39,69820,126,"11,15367578","4,836281907",1,0,0,0,1,0,BE,age_3039,gender_M
VB,M,40+,294230,275,"12,59211705","5,616771098",1,0,0,0,0,1,BE,age_4049,gender_M
VB,M,Tot,567096,607,"13,24828388","6,408528791",1,0,0,0,0,0,BE,,
VB,F,0-19,128332,14,"11,76237593","2,63905733",0,1,1,0,0,0,BE,age_0017,gender_F
VB,F,20-29,67272,184,"11,11649938","5,214935758",0,1,0,1,0,0,BE,age_1829,gender_F
VB,F,30-39,72271,44,"11,18817822","3,784189634",0,1,0,0,1,0,BE,age_3039,gender_F
VB,F,40+,320872,60,"12,67879757","4,094344562",0,1,0,0,0,1,BE,age_4049,gender_F
VB,F,Tot,588747,302,"13,28575183","5,710427017",0,1,0,0,0,0,BE,,
VB,Tot,,1155843,909,"13,96034051","6,812345094",0,0,0,0,0,0,BE,,
LIM,M,0-19,92314,15,"11,43295109","2,708050201",1,0,1,0,0,0,BE,age_0017,gender_M
LIM,M,20-29,49631,139,"10,81237092","4,934473933",1,0,0,1,0,0,BE,age_1829,gender_M
LIM,M,30-39,54448,21,"10,9050014","3,044522438",1,0,0,0,1,0,BE,age_3039,gender_M
LIM,M,40+,240378,72,"12,38996796","4,276666119",1,0,0,0,0,1,BE,age_4049,gender_M
LIM,M,Tot,436771,247,"12,98716431","5,509388337",1,0,0,0,0,0,BE,,
