"","province","age","gender","incl_prob"
"1","ANT","age_0017","gender_M",4.68457758798135e-05
"2","ANT","age_1829","gender_M",7.54507783884318e-05
"3","ANT","age_3039","gender_M",5.97017048931006e-05
"4","ANT","age_4049","gender_M",1.43835737581335e-05
"5","ANT","age_0017","gender_F",4.19934964569894e-05
"6","ANT","age_1829","gender_F",7.31197364389114e-05
"7","ANT","age_3039","gender_F",4.81341162471234e-05
"8","ANT","age_4049","gender_F",1.15100947448486e-05
"9","WVL","age_0017","gender_M",3.05159699353977e-05
"10","WVL","age_1829","gender_M",8.31562710686398e-05
"11","WVL","age_3039","gender_M",8.50800283911874e-05
"12","WVL","age_4049","gender_M",1.75010985736201e-05
"13","WVL","age_0017","gender_F",4.0067789434568e-05
"14","WVL","age_1829","gender_F",9.36546386453064e-05
"15","WVL","age_3039","gender_F",6.14376048172066e-05
"16","WVL","age_4049","gender_F",1.3938384697447e-05
"17","OVL","age_0017","gender_M",2.70679263749749e-05
"18","OVL","age_1829","gender_M",5.89506688961769e-05
"19","OVL","age_3039","gender_M",5.00593826320928e-05
"20","OVL","age_4049","gender_M",1.21917651726436e-05
"21","OVL","age_0017","gender_F",2.38581532947691e-05
"22","OVL","age_1829","gender_F",5.63555430769943e-05
"23","OVL","age_3039","gender_F",3.88121715049803e-05
"24","OVL","age_4049","gender_F",9.17867649351455e-06
"25","VB","age_0017","gender_M",1.67614854900198e-05
"26","VB","age_1829","gender_M",4.88331382444061e-05
"27","VB","age_3039","gender_M",2.52104212210745e-05
"28","VB","age_4049","gender_M",9.4663094279567e-06
"29","VB","age_0017","gender_F",1.20264902109467e-05
"30","VB","age_1829","gender_F",3.34165264230043e-05
"31","VB","age_3039","gender_F",1.30479326257011e-05
"32","VB","age_4049","gender_F",4.50932916987321e-06
"33","LIM","age_0017","gender_M",2.52143107009385e-05
"34","LIM","age_1829","gender_M",5.57427503329759e-05
"35","LIM","age_3039","gender_M",3.52034733468739e-05
"36","LIM","age_4049","gender_M",9.77486500276879e-06
"37","LIM","age_0017","gender_F",2.52442215219794e-05
"38","LIM","age_1829","gender_F",5.7229572608192e-05
"39","LIM","age_3039","gender_F",2.34770439318031e-05
"40","LIM","age_4049","gender_F",6.2563873946643e-06
