"","province","age","gender","incl_prob"
"1","ANT","age_0017","gender_M",2.87703709629979e-05
"2","ANT","age_1829","gender_M",4.3756748315958e-05
"3","ANT","age_3039","gender_M",3.75482965603595e-05
"4","ANT","age_4049","gender_M",8.75704538088978e-06
"5","ANT","age_0017","gender_F",2.75388804930312e-05
"6","ANT","age_1829","gender_F",4.5910705847448e-05
"7","ANT","age_3039","gender_F",3.2141394899485e-05
"8","ANT","age_4049","gender_F",7.37928977735251e-06
"9","WVL","age_0017","gender_M",3.11825815301927e-05
"10","WVL","age_1829","gender_M",5.21326946740943e-05
"11","WVL","age_3039","gender_M",5.51917089994048e-05
"12","WVL","age_4049","gender_M",1.13226326242375e-05
"13","WVL","age_0017","gender_F",3.50261906869684e-05
"14","WVL","age_1829","gender_F",6.14312433559693e-05
"15","WVL","age_3039","gender_F",4.75106865061247e-05
"16","WVL","age_4049","gender_F",1.00133573379406e-05
"17","OVL","age_0017","gender_M",2.6119246409195e-05
"18","OVL","age_1829","gender_M",4.2789461401001e-05
"19","OVL","age_3039","gender_M",4.26082557970948e-05
"20","OVL","age_4049","gender_M",9.37777718074655e-06
"21","OVL","age_0017","gender_F",2.51006194455796e-05
"22","OVL","age_1829","gender_F",4.40655316853076e-05
"23","OVL","age_3039","gender_F",3.55445218391269e-05
"24","OVL","age_4049","gender_F",7.92531463286077e-06
"25","VB","age_0017","gender_M",2.16578180838277e-05
"26","VB","age_1829","gender_M",4.28704384057058e-05
"27","VB","age_3039","gender_M",2.35503605369263e-05
"28","VB","age_4049","gender_M",8.2409996298941e-06
"29","VB","age_0017","gender_F",1.52287466092258e-05
"30","VB","age_1829","gender_F",2.97758743621152e-05
"31","VB","age_3039","gender_F",1.30305895368199e-05
"32","VB","age_4049","gender_F",4.44453076867727e-06
"33","LIM","age_0017","gender_M",3.86767346174542e-05
"34","LIM","age_1829","gender_M",4.79279227114832e-05
"35","LIM","age_3039","gender_M",4.57945438449964e-05
"36","LIM","age_4049","gender_M",9.68769994468206e-06
"37","LIM","age_0017","gender_F",4.06744137972242e-05
"38","LIM","age_1829","gender_F",5.48796846860412e-05
"39","LIM","age_3039","gender_F",4.36979304796511e-05
"40","LIM","age_4049","gender_F",8.59684872471136e-06
